COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
100974,20201223,P,208,165,212,288,550,1116,1620,2358,2406,2746,3187,3573,3967,4149,4135,4065,3921,3518,2442,1756,1250,971,615,421,12/23/2020
100974,20201223,S,354,187,162,176,320,861,1771,2483,2503,2936,3259,3675,3788,3806,3859,3902,3828,3103,2789,1872,1413,1111,1006,612,12/23/2020
100974,20201224,P,264,171,202,231,370,735,1041,1477,1708,2328,2806,3314,3568,3443,3582,3184,3012,2398,1687,1383,1164,888,597,350,12/24/2020
100974,20201224,S,411,238,170,162,235,528,1029,1524,1764,2299,3048,3479,3455,3278,3603,3496,2851,2410,1915,1524,1463,1115,777,537,12/24/2020
100974,20201225,P,209,174,122,99,111,212,361,560,900,1339,1659,1991,2007,1963,1924,1970,2043,1823,1653,1324,1176,781,580,338,12/25/2020
100974,20201225,S,272,143,109,100,101,196,355,493,796,1153,1657,2067,2336,2161,1939,1483,1972,1735,1577,1512,1327,1008,662,447,12/25/2020
100974,20201226,P,185,147,122,182,247,464,662,1054,1549,2222,2895,3302,3393,3577,3757,3787,3707,3238,2299,1726,1287,949,592,390,12/26/2020
100974,20201226,S,229,144,86,103,236,478,789,1186,1688,2555,3382,3822,3791,3696,3404,3044,3099,2543,2067,1603,1306,1008,782,539,12/26/2020
100974,20201227,P,256,160,160,222,265,435,609,789,1252,1907,2589,2964,3404,3604,3734,3705,3606,3073,2282,1719,1228,926,594,321,12/27/2020
100974,20201227,S,336,186,155,133,244,468,773,1082,1565,2168,2924,3017,3185,3261,3062,2761,2679,2171,2159,1512,1290,919,725,485,12/27/2020
100974,20201228,P,244,163,161,270,544,1178,1752,2197,2483,2461,2897,2934,3482,3432,3148,3445,3201,2795,1733,1273,875,719,470,277,12/28/2020
100974,20201228,S,350,210,133,142,285,829,1860,2689,2568,2783,3196,3176,3135,3246,3009,3128,3178,2433,1658,1214,968,715,600,489,12/28/2020
100974,20201229,P,190,140,155,221,392,842,1252,1596,2003,2084,2317,2513,2853,2997,3165,3498,3458,3183,2078,1398,1024,704,491,322,12/29/2020
100974,20201229,S,278,227,167,148,236,575,1259,2158,2089,2335,2516,2682,2814,2892,3008,2894,2997,2688,2015,1400,1033,855,576,459,12/29/2020
100974,20201230,P,225,168,175,264,489,1063,1554,2212,2523,2763,2903,3327,3617,3673,3819,4109,3994,3600,2549,1713,1258,872,488,389,12/30/2020
100974,20201230,S,282,193,123,159,309,785,1697,2474,2640,3002,3275,3545,3613,3167,3609,3783,3595,3396,2386,1814,1397,982,740,538,12/30/2020
100974,20201231,P,329,188,172,193,412,914,1424,1927,2267,2351,2796,3294,3494,3711,3823,3938,3683,3038,2194,1420,960,920,594,340,12/31/2020
100974,20201231,S,350,206,150,160,289,599,1413,2083,2107,2511,2944,3343,3543,3614,3520,3727,3413,2853,2385,1712,1446,917,663,485,12/31/2020
