COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000520,20210101,P,801,546,345,258,230,351,593,727,1169,1519,2046,2425,2786,3088,2959,3178,3094,2610,2078,1589,1251,913,705,544,01/01/2021
000520,20210101,S,624,507,321,239,293,428,753,1060,1361,1929,2432,2839,3010,3047,2943,2800,2671,2467,2131,1516,1296,914,718,474,01/01/2021
000520,20210102,P,285,204,214,197,309,552,875,1300,1852,2556,3286,3925,4073,4284,4266,4457,4271,3653,2782,2029,1500,1122,780,548,01/02/2021
000520,20210102,S,345,219,176,194,310,708,1064,1644,2270,3015,3669,3846,4223,3593,4188,3925,3470,3033,2547,1964,1549,1238,869,668,01/02/2021
000520,20210103,P,382,253,243,294,274,430,649,919,1469,2077,2816,3224,3674,3801,4152,4068,3715,3179,2490,1838,1354,985,699,465,01/03/2021
000520,20210103,S,380,269,204,199,305,508,1006,1270,1668,2256,2905,3168,3302,3680,3389,3183,2887,2449,2127,1677,1451,983,770,540,01/03/2021
000520,20210104,P,286,212,222,338,646,1412,3166,4251,3722,3306,3596,3834,4045,4086,4237,4873,5132,4548,2737,1865,1475,1017,746,455,01/04/2021
000520,20210104,S,340,215,175,182,480,1654,2901,3994,3712,3474,3374,3508,3752,3807,3941,4525,4872,4317,2933,1935,1458,1067,733,536,01/04/2021
000520,20210105,P,285,214,199,325,633,1461,3211,4352,3704,3258,3477,3663,4092,4014,4312,5022,5140,4674,2922,1887,1336,912,713,439,01/05/2021
000520,20210105,S,343,218,212,215,437,1604,2902,4104,3837,3465,3422,3464,3731,3822,4051,4501,4875,4511,2887,1998,1434,1018,734,574,01/05/2021
000520,20210106,P,255,201,176,311,616,1410,3202,4375,3703,3392,3454,3629,3889,4045,4329,4907,5221,4675,3022,1897,1411,944,691,434,01/06/2021
000520,20210106,S,320,200,193,203,470,1675,2837,4194,3916,3405,3360,3563,3752,3734,3925,4461,4904,4421,2997,2129,1593,1091,685,503,01/06/2021
000520,20210107,P,284,185,192,317,607,1416,3112,4302,3833,3357,3448,3728,3983,3976,4273,5013,5103,4746,3116,1919,1397,981,755,449,01/07/2021
000520,20210107,S,329,190,205,224,442,1626,2795,4295,3890,3478,3417,3515,3693,3786,3991,4532,4918,4331,3077,2124,1478,1147,796,555,01/07/2021
000520,20210108,P,282,201,190,326,590,1295,3126,4212,3723,3515,3638,3992,4365,4407,4851,5410,4850,4606,3285,2223,1650,1291,968,650,01/08/2021
000520,20210108,S,383,212,187,240,458,1570,2799,4114,3896,3548,3583,3791,4266,4187,4425,4867,5086,4790,3563,2553,1934,1435,1101,654,01/08/2021
000520,20210109,P,419,296,255,282,305,600,1079,1509,2142,2736,3274,3389,3232,2999,3008,2740,1652,1558,1540,1184,916,689,586,389,01/09/2021
000520,20210109,S,422,306,273,215,301,679,1187,1576,2120,2554,2948,3122,3123,2974,2809,2571,1933,1134,1115,956,924,729,682,430,01/09/2021
