COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000520,20200101,P,965,851,532,334,284,431,593,873,1242,1686,2091,2633,2911,3217,3001,3185,2796,2574,2096,1794,1378,1034,782,444,01/01/2020
000520,20200101,S,880,653,506,335,360,475,722,959,1365,1906,2622,2944,3074,3019,2654,2936,2770,2444,2067,1706,1250,1015,736,556,01/01/2020
000520,20200102,P,316,210,239,323,785,1694,3645,4614,4025,3854,3986,4382,4557,4539,4683,4919,4989,4493,3031,2203,1586,1191,903,522,01/02/2020
000520,20200102,S,344,195,162,208,485,1242,3009,4509,4078,3786,4000,4332,4295,4264,4672,3630,4310,4877,3293,2323,1736,1447,973,808,01/02/2020
000520,20200103,P,401,307,245,302,698,1643,3632,4593,4079,4006,4371,4400,4846,4779,4939,5217,4511,4190,3399,2521,1947,1532,1204,749,01/03/2020
000520,20200103,S,548,347,268,232,451,1354,2882,4470,4083,3874,4138,4507,4185,4760,5360,5233,5247,5038,3761,2842,2156,1773,1229,917,01/03/2020
000520,20200104,P,540,401,273,284,379,777,1310,1905,2655,3337,3701,4164,4334,4292,4518,4623,4453,4001,3149,2333,1970,1702,1192,746,01/04/2020
000520,20200104,S,605,382,293,235,356,744,1473,2053,2679,3419,3974,4261,4340,3934,4069,4278,3875,3445,2955,2433,1870,1603,1190,831,01/04/2020
000520,20200105,P,585,452,271,282,332,542,843,1200,1774,2462,3234,3343,3737,3841,3759,3431,3720,3323,2713,2052,1514,1201,740,496,01/05/2020
000520,20200105,S,552,439,302,231,311,519,873,1259,1832,2440,2916,3277,3431,3495,3343,3293,3103,2813,2470,1848,1374,1235,865,648,01/05/2020
