COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
100974,20220101,P,377,275,164,141,177,227,332,480,671,853,1126,1342,1471,1610,1673,1648,1793,1433,1174,978,777,551,417,305,01/01/2022
100974,20220101,S,399,340,194,187,134,203,297,406,535,837,1048,1462,1790,1691,2141,1895,1757,1485,1256,911,807,701,544,433,01/01/2022
100974,20220102,P,193,146,171,191,229,355,558,718,1102,1845,2630,3096,3548,3838,3800,3817,3578,3055,2415,1840,1289,894,644,421,01/02/2022
100974,20220102,S,320,229,179,168,194,358,635,908,1341,1909,2753,3265,3424,3216,2945,3020,2994,2738,2305,1739,1306,1013,909,584,01/02/2022
100974,20220103,P,304,215,237,293,481,1145,2067,2829,2666,2590,2676,3073,3279,3383,3692,3938,4218,3904,2547,1843,1318,923,625,378,01/03/2022
100974,20220103,S,434,320,250,212,329,956,1953,2992,2923,2876,3070,3306,3213,3255,3279,3713,3691,3460,2440,1648,1313,1066,704,484,01/03/2022
100974,20220104,P,251,193,203,304,536,1248,2325,3232,2949,2599,2649,2864,3085,3210,3588,3753,4028,3990,2652,1813,1324,888,658,370,01/04/2022
100974,20220104,S,297,257,244,174,309,891,2090,3512,3157,2854,2882,3077,2998,3070,3240,3564,3845,3589,2520,1678,1322,1037,751,506,01/04/2022
100974,20220105,P,252,184,193,286,551,1138,2228,3319,3010,2615,2689,2917,3123,3127,3265,3776,3966,3828,2296,1499,1207,819,563,330,01/05/2022
100974,20220105,S,298,296,173,157,309,854,2040,3585,3106,3006,2750,2949,2906,2825,3132,3740,3953,3242,2106,1436,1047,781,549,451,01/05/2022
100974,20220106,P,193,181,186,235,484,968,1748,2879,2608,2212,2193,2499,2824,2838,3007,3750,4044,3706,2606,1751,1384,905,585,344,01/06/2022
100974,20220106,S,260,210,182,158,220,670,1631,3040,2710,2191,2285,2518,2691,2290,2819,3362,3560,3374,2321,1554,1167,1013,784,480,01/06/2022
100974,20220107,P,226,169,194,267,506,1040,2069,3062,2967,2729,2778,3149,3529,3719,3892,4417,4654,4476,3130,2161,1724,1156,751,463,01/07/2022
100974,20220107,S,344,244,180,186,309,797,1872,3370,3090,3097,3207,3313,3578,3496,3773,4141,4197,3892,2998,2212,1676,1344,1106,675,01/07/2022
100974,20220108,P,321,227,195,243,316,657,977,1419,1940,2736,3491,3935,3925,3906,3928,3797,3509,2813,2307,1830,1251,971,627,408,01/08/2022
100974,20220108,S,462,322,228,161,211,490,1026,1533,2220,2799,3088,3384,3562,3560,3214,3272,2938,2705,2301,2215,1658,1476,1015,635,01/08/2022
100974,20220109,P,294,209,184,186,242,446,647,801,1201,1673,2427,2889,3147,3337,3305,3349,3265,2993,2266,1611,1258,836,475,317,01/09/2022
100974,20220109,S,432,260,190,161,184,335,763,1073,1493,1909,2552,2702,3072,2963,2804,2858,2738,2528,2196,1546,1264,930,732,446,01/09/2022
100974,20220110,P,202,129,174,252,534,1284,2327,3430,3076,2480,2470,2881,3042,2905,3235,3864,4033,3761,2639,1534,1266,779,520,264,01/10/2022
100974,20220110,S,344,238,161,132,313,975,2051,3870,3184,2969,2820,2921,2879,2971,3142,3722,3803,3694,2391,1478,1168,890,805,465,01/10/2022
100974,20220111,P,185,147,170,216,551,1217,2363,3556,3126,2562,2634,2858,2978,3022,3322,3905,4193,4162,2651,1751,1338,902,488,301,01/11/2022
100974,20220111,S,275,220,152,152,291,892,2159,3825,3407,3018,2848,2797,2852,2948,3130,3726,3856,3774,2706,1571,1265,1026,677,445,01/11/2022
100974,20220112,P,184,152,152,254,504,1203,2348,3580,3184,2705,2627,2945,3034,3041,3518,3968,4118,4030,2552,1816,1473,887,520,354,01/12/2022
100974,20220112,S,294,178,168,149,274,876,2232,3777,3467,2973,2878,2599,3114,2775,3216,3892,3851,3716,2658,1583,1296,982,689,481,01/12/2022
100974,20220113,P,218,178,150,244,535,1233,2338,3602,3286,2886,2801,3159,3294,3380,3706,4251,4284,4375,2998,1916,1547,1039,613,344,01/13/2022
100974,20220113,S,261,225,192,154,303,915,2251,3681,3374,3280,3151,3026,3162,3280,3524,3823,4095,3717,2788,1729,1473,1116,765,580,01/13/2022
100974,20220114,P,227,203,203,276,536,1104,2018,3049,2930,3001,3233,3413,3504,3439,3461,3768,3576,3019,1695,1183,928,754,476,372,01/14/2022
100974,20220114,S,335,272,180,167,269,732,1939,3358,3015,3034,3148,3357,3141,3265,2841,3501,2636,2118,1578,2224,1836,988,758,590,01/14/2022
100974,20220115,P,193,186,158,217,308,569,791,1274,1741,2286,3012,1774,1374,3153,3804,3831,3720,3300,2574,1900,1482,1151,786,469,01/15/2022
