COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
100974,20230101,P,723,563,351,262,193,331,559,788,1104,1662,2561,3114,3395,3326,3527,3420,3469,2728,2091,1547,1179,782,518,331,01/01/2023
100974,20230101,S,676,700,460,314,251,363,617,843,1465,2093,2786,3175,3479,3337,3118,3014,2837,2579,2154,1639,1283,971,856,581,01/01/2023
100974,20230102,P,214,169,179,200,277,479,811,915,1257,1845,2030,2512,2839,3014,3091,3058,2886,2548,1854,1547,1085,811,571,399,01/02/2023
100974,20230102,S,341,237,226,192,211,362,769,1163,1513,1846,2241,2596,2711,2579,2574,2595,2463,2127,1545,1276,1009,897,789,712,01/02/2023
100974,20230103,P,280,181,201,310,622,1333,2228,3205,2983,2710,2804,3034,3249,3358,3562,3954,4211,4238,2729,1898,1442,979,572,383,01/03/2023
100974,20230103,S,355,279,256,235,322,888,1850,3275,3126,2929,3134,3198,3226,3164,3636,3834,4019,3670,2645,1657,1388,1243,796,524,01/03/2023
100974,20230104,P,206,218,204,306,647,1378,2513,3466,3171,2882,2951,3049,3329,3386,3873,4099,4453,4418,2896,1875,1525,1013,618,406,01/04/2023
100974,20230104,S,361,258,190,200,329,905,2115,3873,3346,3201,3240,3123,3233,3199,3517,3967,4374,3990,2908,1959,1460,1127,764,489,01/04/2023
100974,20230105,P,223,205,202,351,644,1359,2571,3719,3597,2801,2987,3224,3443,3560,3751,4397,4629,4647,3034,2236,1624,1061,671,423,01/05/2023
100974,20230105,S,316,228,216,216,281,890,2138,4073,3699,3303,3251,3373,3145,3279,3588,4200,4464,3989,2729,2188,1602,1235,844,671,01/05/2023
100974,20230106,P,250,192,224,310,565,1263,2285,3590,3287,2920,3113,3438,3779,3796,4133,4696,4818,4494,3315,2215,1740,1264,861,540,01/06/2023
100974,20230106,S,375,271,193,175,307,793,2069,3647,3465,3187,3298,3442,3705,3638,3871,4335,4563,4116,3244,2356,1799,1551,1297,814,01/06/2023
100974,20230107,P,309,239,234,293,357,692,1103,1524,2180,2760,3463,3884,4061,4144,4129,4296,4235,3656,2840,2135,1647,1136,743,598,01/07/2023
100974,20230107,S,488,353,230,218,218,509,1141,1611,2227,2905,3376,3715,3841,3646,3448,3477,3746,3422,2786,2270,1968,1560,1182,893,01/07/2023
100974,20230108,P,361,236,246,286,292,531,769,1006,1538,2071,3254,3769,3979,3616,3685,3800,3790,3245,2312,1749,1325,886,534,360,01/08/2023
100974,20230108,S,489,399,213,186,188,324,922,1193,1803,2213,2868,3062,3212,2988,3112,3085,3080,2840,2678,2575,1724,1158,805,515,01/08/2023
100974,20230109,P,202,167,139,272,643,1423,2704,3728,3634,2678,2712,2908,3052,3095,3432,4128,4350,4373,2713,1734,1363,892,475,303,01/09/2023
100974,20230109,S,310,267,134,155,324,928,2263,4274,3603,3146,3087,3270,3155,3065,3428,3648,3953,4137,2772,1772,1329,1078,914,466,01/09/2023
100974,20230110,P,203,148,177,252,602,1448,2779,3977,3697,2887,3005,3043,3173,3248,3597,4238,4392,4496,2936,1862,1487,961,581,295,01/10/2023
100974,20230110,S,297,194,158,173,276,904,2389,4434,3693,3210,3150,3016,3422,3173,3447,4019,4268,3907,2899,1873,1328,1130,840,603,01/10/2023
100974,20230111,P,229,165,171,283,623,1405,2668,3825,3373,2819,2728,2760,2817,3035,3495,4010,4199,4303,2973,1761,1498,1029,496,344,01/11/2023
100974,20230111,S,314,177,153,156,291,860,2303,4222,3395,3031,3046,2815,2960,2760,3221,3833,4104,3639,2735,1686,1522,1086,813,604,01/11/2023
100974,20230112,P,253,173,179,275,603,1422,2654,3849,3734,2851,2696,3119,3301,3512,3796,4504,4575,4569,3147,2213,1685,1184,603,383,01/12/2023
