COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000520,20220101,P,666,512,297,256,205,309,496,592,787,1005,1316,1594,1610,1793,1825,1864,1920,1560,1388,1271,938,731,619,433,01/01/2022
000520,20220101,S,545,442,294,261,242,322,490,648,901,1223,1261,1661,1806,1903,2189,2009,1854,1597,1327,1060,900,724,626,456,01/01/2022
000520,20220102,P,327,233,215,234,269,427,631,790,1126,1990,2785,3275,3675,3870,3842,3974,3717,3391,2704,1994,1622,1049,802,541,01/02/2022
000520,20220102,S,338,209,188,210,276,510,950,1218,1561,2098,2938,3227,3647,3400,3291,3173,3031,2729,2297,1739,1430,1001,867,536,01/02/2022
000520,20220103,P,369,287,256,311,595,1321,2918,4192,3496,3402,3600,3945,4134,4143,4398,4940,5052,4260,3092,2089,1554,1071,805,490,01/03/2022
000520,20220103,S,388,291,245,254,468,1809,2769,3980,3918,3551,3501,3823,3926,3946,4049,4557,4638,4244,3005,1949,1668,1265,807,551,01/03/2022
000520,20220104,P,310,295,242,324,665,1511,3233,4901,4011,3552,3737,3879,3898,3942,4343,4732,4936,4554,3063,2067,1412,1064,1023,500,01/04/2022
000520,20220104,S,348,271,252,258,453,1799,2968,4576,4112,3488,3541,3661,3655,3858,4072,4651,4893,4622,3138,2018,1631,1207,910,545,01/04/2022
000520,20220105,P,338,257,245,324,616,1478,3214,4941,4070,3574,3707,3819,3994,3982,4189,4806,5052,4338,2862,1821,1468,1047,974,433,01/05/2022
000520,20220105,S,356,285,201,222,472,1720,2900,4606,4204,3622,3307,3569,3767,3716,4162,4488,5078,4541,2879,1970,1570,1118,827,498,01/05/2022
000520,20220106,P,312,254,218,284,604,1264,2796,4600,3847,3151,3208,3388,3739,3840,4104,4784,4925,4448,3189,2037,1541,1174,809,485,01/06/2022
000520,20220106,S,375,237,221,232,396,1523,2600,4251,4072,3075,2981,3249,3518,3416,3894,4516,4760,4451,2990,2095,1642,1253,902,584,01/06/2022
000520,20220107,P,323,249,242,307,567,1301,3051,4741,4103,3603,3826,4069,4454,4577,5003,4651,4258,3997,3417,2426,1770,1498,1138,746,01/07/2022
000520,20220107,S,355,278,195,246,457,1584,2799,4600,4305,3846,3773,4021,4293,4379,4762,5199,5195,4843,3472,2726,2088,1670,1241,790,01/07/2022
000520,20220108,P,512,433,307,279,372,700,1177,1679,2420,3160,3880,4355,4297,4361,4281,3997,3782,3205,2774,1932,1455,1314,866,622,01/08/2022
000520,20220108,S,548,353,307,237,332,720,1420,1929,2696,3180,3597,3624,3798,3894,3954,3819,3479,2928,2531,2279,1855,1483,1076,597,01/08/2022
000520,20220109,P,468,364,272,231,273,495,706,861,1456,1858,2724,3127,3363,3469,3343,3399,3393,3029,2428,1713,1385,1054,682,464,01/09/2022
000520,20220109,S,476,334,250,202,292,475,857,1156,1534,2051,2508,2761,3011,3123,3179,3075,2901,2692,2336,1705,1368,1039,745,514,01/09/2022
000520,20220110,P,299,195,225,292,621,1559,3316,4892,4146,3428,3496,3774,3900,3812,4212,4772,5087,3377,2721,1902,1349,941,670,403,01/10/2022
000520,20220110,S,350,237,183,206,470,1892,2963,4828,4276,3633,3448,3625,3774,3729,3949,4723,4841,4037,3073,2010,1565,1109,875,543,01/10/2022
